run,model,use_augmentation,use_bn,dropout,optimizer,lr,best_epoch,best_val_acc,test_accuracy,macro_f1,weighted_f1
baseline,baseline,False,False,0.0,adam,0.001,23,61.285714285714285,0.559,0.5594369708288518,0.5594369708288518
exp1_aug,baseline,True,False,0.0,adam,0.001,64,74.0,0.683,0.6858449368940387,0.6858449368940388
exp2_aug_bn,configurable,True,True,0.0,adam,0.001,77,77.14285714285714,0.746,0.7461357084632378,0.7461357084632377
exp3_aug_dropout,configurable,True,False,0.3,adam,0.001,68,74.71428571428571,0.722,0.7238509009009952,0.7238509009009951
exp4_aug_bn_sgd,configurable,True,True,0.0,sgd,0.01,86,76.71428571428571,0.711,0.7114590612215841,0.7114590612215841
exp5_aug_bn_lr,configurable,True,True,0.0,adam,0.0003,78,76.42857142857143,0.733,0.7315886907590067,0.7315886907590066
exp6_improved_long_6,improved_long,True,True,0.3,adam,0.001,89,86.0,0.818,0.8195716393291971,0.8195716393291972
exp7_improved_long_9,improved_longer,True,True,0.3,adam,0.001,73,83.71428571428571,0.814,0.8149712092219732,0.8149712092219733
exp8_improved_longer_12,improved_longer_12,True,True,0.3,adam,0.001,143,84.57142857142857,0.812,0.8120110808563954,0.8120110808563954
exp9_aug_bn_15conv,configurable_15conv,True,True,0.0,adam,0.001,87,80.85714285714286,0.773,0.7744242259672945,0.7744242259672944
